iter	Logloss
0	0.6786802634
1	0.6675058027
2	0.6554536776
3	0.6440168015
4	0.6320759539
5	0.6193177391
6	0.6101112327
7	0.60080722
8	0.5923634038
9	0.5825838991
10	0.5742482505
11	0.5681721702
12	0.5613100919
13	0.5542469974
14	0.5469756987
15	0.5399887947
16	0.5344706091
17	0.5291959486
18	0.5238220555
19	0.5192735899
20	0.5136293474
21	0.5090752656
22	0.5049911841
23	0.501280531
24	0.4972332882
25	0.4922899184
26	0.4890408567
27	0.48595551
28	0.4832340505
29	0.4800473078
30	0.4769972229
31	0.4742526571
32	0.4713728132
33	0.4684231103
34	0.4658074957
35	0.463492908
36	0.4611199421
37	0.4582295735
38	0.4554416222
39	0.4526801183
40	0.4509920334
41	0.4489862638
42	0.4471617481
43	0.4451051237
44	0.4435157918
45	0.4417658128
46	0.4403226783
47	0.4384206522
48	0.4365548186
49	0.4349335059
50	0.4336145102
51	0.4323869421
52	0.4309947005
53	0.429669102
54	0.4285330233
55	0.4272965885
56	0.4259519377
57	0.4249488433
58	0.42404003
59	0.4229624887
60	0.4221146233
61	0.4212043899
62	0.4203109668
63	0.4195159931
64	0.4187447668
65	0.417854725
66	0.417037796
67	0.4162061153
68	0.4152387976
69	0.4142660206
70	0.4133913118
71	0.4124838624
72	0.4117268083
73	0.4110273154
74	0.4104377859
75	0.4097264502
76	0.4088517057
77	0.4082567869
78	0.4076574625
79	0.4069136737
80	0.4064182436
81	0.4060262502
82	0.4056349526
83	0.4050882942
84	0.4047266658
85	0.4041168135
86	0.4036370735
87	0.4031002073
88	0.402537699
89	0.4019337713
90	0.4015380511
91	0.400849132
92	0.400429519
93	0.3999925277
94	0.3996481364
95	0.3993438405
96	0.398910772
97	0.3983924006
98	0.3980964929
99	0.3976414774
100	0.3970952145
101	0.3967183078
102	0.3962513432
103	0.395961086
104	0.3954399329
105	0.395116404
106	0.3947941333
107	0.3945077867
108	0.3941781115
109	0.3937045596
110	0.3933963086
111	0.3931099573
112	0.3927611054
113	0.392332658
114	0.3919695195
115	0.3916220498
116	0.3913511062
117	0.3910475899
118	0.3906206427
119	0.3904159386
120	0.3902101587
121	0.3898824091
122	0.3895492197
123	0.3892116545
124	0.3889817306
125	0.3887707248
126	0.388472741
127	0.3882560961
128	0.3882109519
129	0.387915188
130	0.3877365792
131	0.3875725799
132	0.3872936386
133	0.3869994577
134	0.3866804757
135	0.38645351
136	0.386325314
137	0.3860309969
138	0.3858545352
139	0.3856870129
140	0.3854029239
141	0.3850399801
142	0.3847546396
143	0.3844356101
144	0.3841893717
145	0.3839955626
146	0.3837813545
147	0.3836191059
148	0.3834021375
149	0.3831892326
150	0.3829944469
151	0.3828051229
152	0.3824635933
153	0.3822702131
154	0.3820317631
155	0.3818667014
156	0.3816889199
157	0.3815400419
158	0.3813116141
159	0.3810831986
160	0.3809264086
161	0.3808522901
162	0.3805856611
163	0.3804799692
164	0.3802962276
165	0.3801340606
166	0.3799447991
167	0.3796900973
168	0.3795631053
169	0.3793912898
170	0.37919054
171	0.3789794063
172	0.3787975961
173	0.378596078
174	0.3784365716
175	0.3781638808
176	0.377956016
177	0.3778443951
178	0.3777082567
179	0.3775310266
180	0.377336489
181	0.3771663742
182	0.3769982634
183	0.3767613072
184	0.3765048003
185	0.3763755634
186	0.3761956386
187	0.3759742064
188	0.3757739603
189	0.375681383
190	0.3754251942
191	0.3752601085
192	0.3751959023
193	0.3750573396
194	0.3748039335
195	0.3746400615
196	0.3745047886
197	0.374255086
198	0.3740476664
199	0.3739152872
200	0.3737242648
